,도서명,저자,출판사,ISBN,주제분류번호,등록일자,이미지주소
3525,Docker 도커 실전 가이드 ,"사쿠라이 요이치로,무라사키 다이스케 저 ;박현태 역",Youngjin.com(영진닷컴),9788931465273,005.118,2021-08-03,http://image.kyobobook.co.kr/images/book/large/273/l9788931465273.jpg
3526,비전공자가 업무에서 자주 물어보는 101가지 컴퓨터 활용팁,반병현;이효석 지음,생능출판사,9788970504940,005.5,2021-07-23,http://image.kyobobook.co.kr/images/book/large/940/l9788970504940.jpg
3527,"(비전공자를 위한) 첫 코딩 챌린지 :HTML, CSS 입문부터 영상 서비스 앱 UI 만들기와 배포까지 ",임효성 지음,Golden Rabbit(골든래빗),9791197149849,005.13,2021-07-23,http://image.kyobobook.co.kr/images/book/large/849/l9791197149849.jpg
3528,아두이노로 코딩하며 배우는 딥러닝 :머신러닝과 딥러닝 원리와 모델을 78개 아두이노 예제로 직접 구현 ,서민우 저,앤써북,9791185553795,004.73,2021-07-23,http://image.kyobobook.co.kr/images/book/large/795/l9791185553795.jpg
3529,생활코딩 머신러닝,"이고잉,이숙번,오픈튜토리얼스 지음",위키북스,9791158392666,004.73,2021-07-23,http://image.kyobobook.co.kr/images/book/large/666/l9791158392666.jpg
3530,크리에이터 1:1 속성 과외:1인 미디어 초보자 영상제작 완성!,연희승 지음,내하출판사,9788957175392,004.59,2021-07-23,http://image.kyobobook.co.kr/images/book/large/392/l9788957175392.jpg
3531,새로워진 다빈치 리졸브 동영상 편집 컬러 그레이딩 ,지은이: 이용태,네몬북,9791197453601,004.77,2021-07-16,http://image.kyobobook.co.kr/images/book/large/601/l9791197453601.jpg
3532,두들낙서의 C/C++ 한꺼번에 배우기 :최고의 명강의를 한 권에 담은 ,최지훈 지음,위키북스,9791158392581,005.13,2021-07-08,http://image.kyobobook.co.kr/images/book/large/581/l9791158392581.jpg
3533,오늘부터 자바스크립트:웹 코딩 시작을 위한 맞춤 안내서,"곽문기,하호진 지음",다락원,9788927747680,005.138,2021-07-02,http://image.kyobobook.co.kr/images/book/large/680/l9788927747680.jpg
3534,말랑말랑 우주펭귄 아이패드 드로잉 :참 쉽게 따라 그려보는 프로크리에이트 입문서 ,안쇰 글·그림,예문아카이브,9791163860679,004.16,2021-07-02,http://image.kyobobook.co.kr/images/book/large/679/l9791163860679.jpg
3535,(동작 원리 중심의) 논리회로와 컴퓨터 구조 ,전중남 지음,배움터,9788989383826,004.22,2021-06-25,http://image.kyobobook.co.kr/images/book/large/826/l9788989383826.jpg
3536,자동화시대 정보보안산업 최대수혜주 6개 기업과 이슈 모르면 주식 대박 힘들다 ,저자: 서울공대OB주식연구회,BP기술거래(비피기술거래),9791161823591,004.6,2021-06-25,http://image.kyobobook.co.kr/images/book/large/591/l9791161823591.jpg
3537,데이터 과학자의 사고법 :더 나은 선택을 위한 통계학적 통찰의 힘 ,김용대 지음,김영사,9788934986829,005.7,2021-06-21,http://image.kyobobook.co.kr/images/book/large/829/l9788934986829.jpg
3538,셀프서비스분석 =Self service analytics ,지은이: 김양석,박영사,9791130312132,005.76,2021-06-21,http://image.kyobobook.co.kr/images/book/large/132/l9791130312132.jpg
3539,이펙티브 사이버시큐리티 :효과적인 사이버 보안 실행 및 정책 수립을 위한 지침서 ,"윌리엄 스탈링스 지음 ;한영태,김길성,장미영 옮김",터닝포인트,9791161340937,004.6,2021-06-21,http://image.kyobobook.co.kr/images/book/large/937/l9791161340937.jpg
3540,테라폼 업앤러닝 ,예브게니 브릭만 지음 ;김문주 옮김,루비페이퍼,9791186710661,004.588,2021-06-21,http://image.kyobobook.co.kr/images/book/large/661/l9791186710661.jpg
3541,빅데이터 개론 =Big data:analyse data ,한국소프트웨어기술인협회 빅데이터전략연구소 저,광문각,9788970934969,005.76,2021-06-21,http://image.kyobobook.co.kr/images/book/large/969/l9788970934969.jpg
3542,(회사 실무에 힘을 주는)  스케치업 2021 & V-Ray ,남현우 지음,정보문화사,9788956749068,004.76,2021-06-21,http://image.kyobobook.co.kr/images/book/large/068/l9788956749068.jpg
